                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4761,                 2.5939,                 1.3932,                0.91141,                0.36261,                0.58828,                0.39445,                   1.04,                 2.7663,                 1.0942,             0.00035725,             0.00035725,             0.00035725
                      2,                 1.1601,                 1.3562,                 1.0984,                0.93048,                0.54772,                0.65957,                0.47178,                  1.068,                 2.2341,                 1.0195,             0.00072518,             0.00072518,             0.00072518
                      3,                 1.1335,                 1.2628,                 1.0752,                0.90882,                0.51515,                0.62692,                0.44804,                 1.3367,                 2.0909,                 1.1536,              0.0010894,              0.0010894,              0.0010894
                      4,                 1.0722,                 1.1969,                 1.0739,                0.91225,                 0.5974,                0.73959,                0.54281,                0.99845,                 1.6834,                  1.048,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.0798,                 1.1003,                 1.0502,                0.85397,                0.48667,                0.72815,                0.53193,                0.95488,                 1.6825,                0.99459,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.1131,                 1.1088,                 1.0688,                0.69552,                0.71789,                0.73734,                  0.559,                 0.9585,                 1.5344,                 1.0482,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.0524,                 1.0193,                 1.0387,                0.86588,                0.76479,                0.77875,                0.63175,                0.86298,                 1.2503,                0.99181,              0.0013936,              0.0013936,              0.0013936
                      8,                0.96997,                0.96119,                 1.0243,                0.92853,                0.62338,                0.65102,                0.52376,                0.85069,                 1.3123,                 1.0011,              0.0013866,              0.0013866,              0.0013866
                      9,                0.99228,                0.92868,                 1.0154,                0.90212,                0.80845,                0.85692,                0.66215,                0.98536,                 1.2285,                0.98531,              0.0013795,              0.0013795,              0.0013795
                     10,                0.91769,                0.88832,                0.99592,                0.73842,                0.93481,                0.91205,                0.68216,                 1.0594,                 1.2029,                0.95245,              0.0013724,              0.0013724,              0.0013724
                     11,                 0.9159,                0.86988,                0.99416,                0.88245,                  0.897,                0.94206,                0.73592,                0.89091,                0.96897,                 0.9241,              0.0013653,              0.0013653,              0.0013653
                     12,                0.89013,                0.79385,                0.98259,                0.83373,                0.86823,                0.95258,                 0.7939,                0.83214,                0.94281,                0.93449,              0.0013583,              0.0013583,              0.0013583
                     13,                 0.8935,                0.78527,                0.97712,                0.91766,                0.97403,                0.95724,                0.77992,                0.77786,                0.96409,                0.89313,              0.0013512,              0.0013512,              0.0013512
                     14,                0.88691,                 0.7656,                0.98107,                 0.9365,                0.98291,                0.96595,                0.79227,                0.76401,                0.84162,                0.87876,              0.0013441,              0.0013441,              0.0013441
                     15,                0.86177,                0.74828,                0.98224,                0.85277,                0.93579,                0.92358,                0.76737,                0.77385,                 1.0829,                0.88782,               0.001337,               0.001337,               0.001337
                     16,                0.92316,                0.74571,                0.98616,                 0.9558,                0.99241,                0.96525,                0.76302,                0.85845,                0.79807,                0.88613,                0.00133,                0.00133,                0.00133
                     17,                0.83484,                0.68319,                0.96995,                0.90868,                0.97019,                0.97225,                0.80261,                0.71497,                0.77481,                 0.8829,              0.0013229,              0.0013229,              0.0013229
                     18,                0.87785,                0.72538,                 0.9828,                0.94488,                0.91887,                 0.9513,                 0.7738,                0.72312,                0.87279,                0.91388,              0.0013158,              0.0013158,              0.0013158
                     19,                0.83577,                0.65732,                0.96986,                  0.936,                0.93367,                0.95074,                0.75377,                 0.9658,                0.83891,                0.92238,              0.0013087,              0.0013087,              0.0013087
                     20,                0.84779,                0.65706,                0.97794,                0.93304,                0.88456,                0.94903,                0.76165,                0.73434,                0.79917,                  0.899,              0.0013017,              0.0013017,              0.0013017
                     21,                0.84671,                0.66901,                0.97318,                0.89419,                0.99567,                0.96073,                0.79974,                0.69454,                0.77056,                0.86892,              0.0012946,              0.0012946,              0.0012946
                     22,                0.83659,                 0.6532,                0.97757,                0.93619,                0.98886,                 0.9761,                0.71735,                 1.0491,                0.82224,                0.91479,              0.0012875,              0.0012875,              0.0012875
                     23,                0.84543,                0.63515,                0.96421,                0.92875,                0.89799,                0.93414,                0.65083,                 1.1658,                0.86269,                0.93449,              0.0012805,              0.0012805,              0.0012805
                     24,                0.83331,                0.64522,                0.96816,                0.95642,                0.98812,                0.96571,                0.77561,                0.80267,                0.71072,                 0.8617,              0.0012734,              0.0012734,              0.0012734
                     25,                0.81314,                0.60447,                0.95639,                0.95624,                0.90981,                0.94144,                0.75924,                 0.7991,                 0.8239,                0.89611,              0.0012663,              0.0012663,              0.0012663
                     26,                0.82072,                0.62171,                0.95759,                0.83488,                0.93579,                0.91439,                0.75447,                 0.7946,                0.80407,                0.96479,              0.0012592,              0.0012592,              0.0012592
                     27,                0.77471,                0.60811,                 0.9551,                 0.9359,                 0.9958,                0.97203,                0.80243,                0.69586,                0.73357,                 0.8729,              0.0012522,              0.0012522,              0.0012522
                     28,                0.80493,                0.60212,                 0.9591,                0.94261,                0.91901,                0.94894,                0.78953,                0.69582,                0.72211,                0.87641,              0.0012451,              0.0012451,              0.0012451
                     29,                0.79823,                 0.5992,                0.95895,                0.92182,                0.97455,                0.95683,                0.79604,                0.65326,                0.69643,                0.87419,               0.001238,               0.001238,               0.001238
                     30,                0.78246,                0.58407,                0.95385,                0.93771,                 0.9699,                0.96851,                0.81132,                0.72006,                0.73964,                0.88769,              0.0012309,              0.0012309,              0.0012309
                     31,                0.78467,                0.58886,                0.94086,                0.81589,                0.82226,                0.93726,                0.74699,                0.65462,                0.70765,                 0.8497,              0.0012239,              0.0012239,              0.0012239
                     32,                0.78321,                0.57479,                 0.9416,                0.96549,                0.95905,                0.97241,                0.77314,                0.94046,                  0.667,                0.88654,              0.0012168,              0.0012168,              0.0012168
