                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4278,                 2.1727,                 1.3128,                0.88087,                0.61235,                0.75857,                0.54813,                  1.124,                 1.5637,                 1.0115,             0.00047162,             0.00047162,             0.00047162
                      2,                 1.2044,                 1.4116,                 1.1123,                 0.9094,                0.59772,                0.65934,                0.46315,                 1.0992,                 1.4675,                 1.0539,             0.00094326,             0.00094326,             0.00094326
                      3,                 1.1569,                 1.2853,                 1.1052,                0.69004,                0.77778,                0.79531,                0.60007,                  1.019,                 1.2512,                0.97526,              0.0014102,              0.0014102,              0.0014102
                      4,                 1.1265,                 1.2688,                 1.1116,                0.92222,                0.63203,                0.72367,                0.47685,                 1.2294,                 1.3098,                 1.1083,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.1527,                 1.2172,                 1.1067,                 0.7788,                0.75634,                0.84254,                0.57149,                 1.1258,                 1.3606,                  1.017,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.0633,                 1.0983,                 1.0726,                0.91922,                0.76046,                0.83273,                0.65301,                0.85378,                 1.0039,                 1.0194,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.0355,                 1.0651,                 1.0669,                0.90607,                0.75337,                0.80719,                0.62481,                0.85606,                 1.0071,                0.94306,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.0266,                0.99476,                 1.0469,                0.89339,                0.87905,                 0.8869,                0.67773,                0.89158,                 1.0196,                0.93772,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.0535,                0.97113,                 1.0595,                0.92676,                0.92441,                0.94243,                0.73189,                0.88107,                0.90055,                0.94245,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.0487,                0.94033,                 1.0637,                0.92432,                0.79713,                0.84434,                0.65528,                0.87143,                0.86554,                0.95116,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.0216,                 0.9082,                 1.0507,                0.95245,                0.98701,                0.96763,                0.77327,                0.84087,                0.75342,                0.93044,              0.0013653,              0.0013653,              0.0013653
                     12,                 0.9577,                0.81977,                 1.0178,                0.89457,                 0.9258,                0.93893,                 0.7493,                0.80294,                0.70164,                0.89045,              0.0013583,              0.0013583,              0.0013583
                     13,                0.96963,                0.84105,                  1.032,                0.94707,                0.96808,                0.97611,                0.72095,                 0.9341,                0.80338,                0.91233,              0.0013512,              0.0013512,              0.0013512
                     14,                0.95911,                0.79059,                 1.0146,                0.92871,                0.98701,                0.97651,                 0.7791,                0.74027,                0.72292,                0.87869,              0.0013441,              0.0013441,              0.0013441
                     15,                 0.9576,                0.80745,                 1.0225,                0.92742,                0.82082,                0.86665,                 0.6863,                0.75447,                0.75978,                0.88173,               0.001337,               0.001337,               0.001337
                     16,                0.93559,                0.77675,                 1.0151,                0.94707,                0.89567,                 0.9475,                0.75267,                0.88866,                0.69238,                0.86949,                0.00133,                0.00133,                0.00133
                     17,                0.96646,                0.75477,                 1.0269,                0.84097,                0.95322,                0.94547,                0.76491,                0.80298,                0.68883,                0.88921,              0.0013229,              0.0013229,              0.0013229
                     18,                0.96539,                0.74694,                 1.0225,                0.93406,                0.96942,                0.97273,                0.79851,                0.76719,                0.66263,                0.85889,              0.0013158,              0.0013158,              0.0013158
                     19,                0.92809,                0.73042,                 1.0025,                0.92586,                0.93201,                0.93389,                0.76975,                0.72247,                 0.6172,                0.85327,              0.0013087,              0.0013087,              0.0013087
                     20,                0.90126,                0.71811,                 1.0017,                0.93376,                0.91864,                0.94895,                0.79901,                0.74154,                0.62864,                0.87349,              0.0013017,              0.0013017,              0.0013017
                     21,                0.93391,                0.72071,                 1.0117,                0.94876,                 0.9146,                0.95872,                0.71307,                0.94964,                0.66654,                0.88921,              0.0012946,              0.0012946,              0.0012946
                     22,                0.89048,                0.68492,                0.99248,                0.88371,                0.98162,                0.96627,                0.80828,                0.71912,                0.60126,                0.86969,              0.0012875,              0.0012875,              0.0012875
                     23,                0.87672,                0.67529,                0.98793,                0.94638,                0.92237,                0.94857,                0.79046,                0.70335,                0.58848,                0.84798,              0.0012805,              0.0012805,              0.0012805
                     24,                0.86574,                0.65404,                0.98487,                0.93375,                0.95847,                0.97142,                0.77719,                0.84158,                 0.6041,                0.86797,              0.0012734,              0.0012734,              0.0012734
                     25,                0.87342,                0.68209,                0.98752,                0.88355,                0.94669,                 0.9544,                0.78359,                0.72401,                0.60006,                0.87149,              0.0012663,              0.0012663,              0.0012663
                     26,                0.85591,                0.65145,                0.98724,                0.93249,                0.98316,                0.97082,                0.79543,                0.73482,                0.57593,                0.86515,              0.0012592,              0.0012592,              0.0012592
                     27,                0.84284,                0.64016,                0.98604,                0.93039,                0.93696,                0.96179,                 0.8175,                0.67977,                0.56402,                0.86181,              0.0012522,              0.0012522,              0.0012522
                     28,                0.83737,                0.61684,                0.98025,                0.93896,                0.93668,                0.94921,                0.79544,                 0.6642,                 0.5721,                0.84405,              0.0012451,              0.0012451,              0.0012451
                     29,                0.83685,                0.62298,                0.97081,                0.93261,                0.99355,                0.97437,                0.79559,                0.75814,                0.59685,                0.87579,               0.001238,               0.001238,               0.001238
                     30,                0.83845,                0.62111,                0.97737,                0.92358,                0.93982,                 0.9409,                0.79902,                0.69813,                0.55276,                 0.8609,              0.0012309,              0.0012309,              0.0012309
                     31,                0.85402,                0.61743,                0.97607,                 0.8929,                      1,                0.96456,                0.80526,                0.69301,                 0.5551,                0.85791,              0.0012239,              0.0012239,              0.0012239
                     32,                0.83542,                0.60957,                0.96551,                0.92555,                0.94207,                0.95557,                 0.7932,                0.73126,                0.57718,                0.86517,              0.0012168,              0.0012168,              0.0012168
                     33,                0.81325,                0.60548,                0.97095,                0.92333,                0.98792,                0.97735,                0.79334,                0.73125,                0.55255,                0.85513,              0.0012097,              0.0012097,              0.0012097
                     34,                0.84944,                0.62026,                0.96756,                0.93243,                0.99419,                0.96902,                 0.8124,                0.72959,                0.53885,                0.84068,              0.0012026,              0.0012026,              0.0012026
                     35,                0.80471,                0.60197,                0.96657,                0.94527,                0.98268,                0.96883,                0.82051,                0.66584,                 0.5162,                0.84541,              0.0011956,              0.0011956,              0.0011956
                     36,                0.80287,                0.57845,                0.96817,                0.95675,                0.96537,                0.97704,                0.75705,                 0.8666,                0.57508,                 0.8629,              0.0011885,              0.0011885,              0.0011885
                     37,                0.81448,                0.60292,                0.96123,                0.95475,                0.93061,                0.95766,                0.83855,                0.63886,                0.51715,                0.85629,              0.0011814,              0.0011814,              0.0011814
                     38,                0.75879,                0.56017,                0.95723,                0.93579,                0.93146,                0.93566,                0.80202,                0.69528,                0.52553,                0.85981,              0.0011744,              0.0011744,              0.0011744
                     39,                0.77341,                0.57861,                 0.9623,                0.92279,                0.93275,                 0.9648,                0.81301,                0.70165,                0.51169,                0.85407,              0.0011673,              0.0011673,              0.0011673
                     40,                0.78282,                0.57373,                0.95424,                0.94048,                0.98406,                0.97755,                0.82617,                0.67115,                0.51697,                 0.8441,              0.0011602,              0.0011602,              0.0011602
                     41,                0.79889,                0.56862,                0.97142,                0.94976,                0.98612,                 0.9795,                0.82768,                0.80282,                0.52391,                0.85462,              0.0011531,              0.0011531,              0.0011531
                     42,                0.76422,                0.57093,                0.94854,                0.89413,                0.99738,                0.96274,                0.83127,                0.63794,                 0.4933,                0.85053,              0.0011461,              0.0011461,              0.0011461
                     43,                0.78173,                0.56992,                0.95436,                0.94345,                 0.9228,                0.94028,                0.78845,                 0.6931,                0.52987,                 0.8482,               0.001139,               0.001139,               0.001139
                     44,                0.74367,                0.53635,                0.94947,                0.94666,                0.92713,                0.95078,                 0.8063,                0.64665,                0.51111,                0.84138,              0.0011319,              0.0011319,              0.0011319
                     45,                0.73501,                 0.5392,                0.94217,                0.93276,                0.93819,                0.95079,                0.81123,                0.66265,                0.50686,                0.85889,              0.0011248,              0.0011248,              0.0011248
                     46,                0.74257,                0.54308,                0.94588,                0.92195,                0.91632,                0.96684,                0.83476,                0.63758,                0.48219,                0.83635,              0.0011178,              0.0011178,              0.0011178
                     47,                0.76927,                0.54873,                0.95931,                0.94456,                0.98132,                0.97646,                0.83168,                0.65488,                0.48535,                0.84182,              0.0011107,              0.0011107,              0.0011107
                     48,                0.73464,                0.52723,                0.94474,                0.94814,                0.92558,                0.96475,                0.83574,                0.66189,                0.48607,                0.83689,              0.0011036,              0.0011036,              0.0011036
                     49,                0.71725,                0.52689,                0.93402,                0.94019,                0.92713,                0.95101,                0.80852,                0.65839,                0.50222,                0.84101,              0.0010965,              0.0010965,              0.0010965
