                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4761,                 2.5939,                 1.3932,                0.91141,                0.36261,                0.58806,                0.39424,                0.98409,                  2.656,                 1.0052,             0.00035725,             0.00035725,             0.00035725
                      2,                 1.1541,                 1.3567,                 1.0964,                0.93939,                0.49639,                0.60529,                0.42886,                 1.0871,                 2.2804,                 1.0295,             0.00072735,             0.00072735,             0.00072735
                      3,                 1.1421,                 1.2725,                 1.0716,                0.85205,                0.48485,                0.50838,                0.34342,                 1.3805,                 1.9245,                 1.0982,               0.001096,               0.001096,               0.001096
                      4,                 1.1001,                 1.2163,                 1.0811,                0.81902,                0.74016,                0.78346,                0.58901,                0.98008,                 1.4351,                0.94657,              0.0014205,              0.0014205,              0.0014205
                      5,                 1.0984,                 1.1131,                 1.0638,                0.85902,                0.49784,                0.70148,                0.51933,                0.91802,                 1.5816,                0.96814,              0.0014205,              0.0014205,              0.0014205
                      6,                 1.1014,                 1.0886,                 1.0617,                0.85721,                0.74056,                0.73678,                0.55781,                0.90582,                 1.3045,                0.92058,              0.0014177,              0.0014177,              0.0014177
                      7,                 1.0024,                0.99607,                 1.0374,                0.92538,                 0.7518,                0.81084,                0.63434,                0.83505,                 1.0858,                0.95225,              0.0014149,              0.0014149,              0.0014149
                      8,                0.97875,                0.97193,                 1.0267,                0.90957,                0.64502,                0.78538,                0.61129,                0.85094,                  1.068,                0.93523,               0.001412,               0.001412,               0.001412
                      9,                0.99565,                0.93252,                 1.0227,                0.91496,                0.75266,                 0.8894,                0.63695,                 1.0252,                 1.0313,                0.94024,              0.0014092,              0.0014092,              0.0014092
                     10,                0.93855,                0.88789,                 1.0019,                0.92336,                0.92473,                0.92007,                0.73727,                0.80499,                0.87245,                0.87598,              0.0014064,              0.0014064,              0.0014064
                     11,                0.93967,                0.85987,                0.99706,                0.91833,                0.83336,                0.88324,                 0.7333,                0.69185,                0.86168,                0.83991,              0.0014035,              0.0014035,              0.0014035
                     12,                0.88483,                0.78002,                0.97832,                0.90492,                0.96924,                0.95839,                0.79716,                0.72688,                0.77353,                0.87385,              0.0014007,              0.0014007,              0.0014007
                     13,                0.89779,                0.77087,                0.97902,                0.89803,                0.94002,                0.94865,                0.77159,                0.86514,                0.80342,                 0.8919,              0.0013979,              0.0013979,              0.0013979
                     14,                 0.8916,                0.75033,                0.98148,                0.93685,                0.92208,                0.95323,                0.74505,                0.95499,                0.80432,                0.87803,               0.001395,               0.001395,               0.001395
                     15,                0.87994,                0.74782,                0.98646,                0.95168,                0.87391,                0.94753,                0.77082,                0.84787,                0.72814,                0.87683,              0.0013922,              0.0013922,              0.0013922
                     16,                0.94714,                0.75395,                0.99096,                0.92564,                 0.8456,                  0.909,                0.70056,                0.92566,                0.76902,                0.88814,              0.0013894,              0.0013894,              0.0013894
                     17,                0.89702,                0.72228,                0.98384,                0.88951,                0.96565,                0.91536,                0.70682,                 0.8035,                0.74112,                0.83149,              0.0013866,              0.0013866,              0.0013866
                     18,                0.86715,                0.72088,                0.98228,                 0.7514,                0.76159,                0.77695,                0.64967,                 0.6993,                 0.8457,                0.86025,              0.0013837,              0.0013837,              0.0013837
                     19,                0.83115,                0.66955,                0.96706,                 0.8919,                0.92259,                 0.9317,                0.77966,                0.64749,                0.75901,                0.87097,              0.0013809,              0.0013809,              0.0013809
                     20,                0.82776,                0.65443,                0.97143,                0.92239,                0.90573,                0.95623,                0.78247,                 0.6557,                0.69209,                0.84631,              0.0013781,              0.0013781,              0.0013781
                     21,                0.85327,                0.66115,                0.97101,                 0.9357,                0.82468,                0.87863,                0.71379,                0.66072,                0.84244,                0.87131,              0.0013752,              0.0013752,              0.0013752
                     22,                0.80806,                0.63573,                0.96188,                0.91518,                0.94012,                0.94085,                0.78318,                0.65298,                0.62665,                  0.861,              0.0013724,              0.0013724,              0.0013724
                     23,                0.82382,                0.62926,                0.96085,                0.93152,                0.92022,                0.92215,                0.69616,                 1.0234,                0.69367,                0.89718,              0.0013696,              0.0013696,              0.0013696
                     24,                0.86735,                0.65617,                0.98742,                0.94385,                0.92713,                0.94832,                0.78833,                0.72353,                0.64021,                0.84723,              0.0013668,              0.0013668,              0.0013668
                     25,                0.86167,                0.62381,                0.96943,                0.93792,                0.88442,                 0.9296,                0.77157,                0.66403,                0.65557,                0.86452,              0.0013639,              0.0013639,              0.0013639
                     26,                0.82519,                0.62762,                0.95923,                0.91769,                0.93295,                0.95338,                0.73745,                0.70517,                0.59249,                0.88654,              0.0013611,              0.0013611,              0.0013611
                     27,                 0.7891,                 0.6224,                0.95703,                0.93543,                0.94185,                0.94407,                0.77866,                0.71963,                0.64817,                0.85886,              0.0013583,              0.0013583,              0.0013583
                     28,                 0.8278,                0.61427,                 0.9636,                0.94835,                0.98687,                0.97048,                0.81846,                 0.6173,                 0.5611,                0.82904,              0.0013554,              0.0013554,              0.0013554
                     29,                0.82503,                0.61198,                0.96001,                0.94502,                0.97049,                0.97372,                0.78785,                0.70803,                0.60255,                0.84742,              0.0013526,              0.0013526,              0.0013526
                     30,                 0.7947,                0.59495,                0.96086,                0.86585,                0.94339,                0.97335,                0.80366,                0.64943,                0.65648,                0.87161,              0.0013498,              0.0013498,              0.0013498
                     31,                0.79494,                0.60229,                0.94973,                0.90537,                0.94796,                0.97087,                0.83157,                0.66046,                0.63342,                0.86434,              0.0013469,              0.0013469,              0.0013469
                     32,                 0.8027,                0.58765,                0.95161,                 0.8492,                0.90618,                0.95257,                0.76607,                0.85019,                0.60738,                0.85874,              0.0013441,              0.0013441,              0.0013441
                     33,                 0.7901,                0.57701,                0.95406,                 0.9391,                0.93286,                0.94473,                0.78792,                0.68596,                0.58479,                0.84279,              0.0013413,              0.0013413,              0.0013413
                     34,                0.79243,                0.57631,                0.94466,                0.95405,                0.97227,                0.97281,                0.80599,                0.76547,                0.59875,                0.85657,              0.0013385,              0.0013385,              0.0013385
                     35,                0.76326,                0.56123,                0.93853,                0.93237,                0.94012,                0.95996,                0.80501,                0.74661,                0.59465,                0.84078,              0.0013356,              0.0013356,              0.0013356
                     36,                0.77903,                0.55765,                0.94291,                0.90006,                 0.9442,                0.95966,                0.80259,                0.65448,                0.54166,                0.84775,              0.0013328,              0.0013328,              0.0013328
                     37,                0.75117,                0.54863,                0.93754,                0.95566,                0.98222,                0.98129,                0.84367,                 0.6384,                0.51086,                0.81511,                0.00133,                0.00133,                0.00133
                     38,                0.76975,                 0.5519,                0.94715,                0.90533,                0.98384,                0.98237,                0.81102,                0.68091,                0.56643,                0.86121,              0.0013271,              0.0013271,              0.0013271
                     39,                0.77643,                0.54122,                0.94362,                0.95472,                0.96813,                0.98015,                0.82675,                0.66147,                0.54854,                0.85823,              0.0013243,              0.0013243,              0.0013243
                     40,                 0.8038,                0.57081,                0.95265,                 0.9463,                0.90115,                0.96123,                0.81062,                0.70603,                0.52386,                0.85688,              0.0013215,              0.0013215,              0.0013215
                     41,                0.76686,                0.54369,                0.94568,                0.92483,                0.97914,                0.96435,                0.67197,                 1.0845,                0.72831,                0.93483,              0.0013187,              0.0013187,              0.0013187
                     42,                0.77156,                0.55837,                0.94061,                0.94794,                0.92764,                0.94988,                0.80207,                0.63093,                0.55357,                0.82705,              0.0013158,              0.0013158,              0.0013158
                     43,                0.76487,                0.53054,                 0.9467,                0.92595,                0.92659,                0.94978,                0.79229,                0.73358,                 0.5193,                0.82847,               0.001313,               0.001313,               0.001313
                     44,                0.72728,                0.50472,                0.92314,                0.94746,                0.93579,                0.95368,                0.81924,                0.62662,                0.53712,                0.82029,              0.0013102,              0.0013102,              0.0013102
                     45,                0.71638,                0.51199,                0.92403,                0.92973,                0.86676,                0.91333,                0.77751,                0.60612,                0.55451,                0.82051,              0.0013073,              0.0013073,              0.0013073
